Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
11/28/2021,492,3,61,74,103,109,84,54,39,15,14,0,249,239,4,73,16,108,175,39,81,0,0,0,0,1,1,0,1,0,2,1,0,0,0,1,2,0,0,3,3,6,7,14,16,4,8,0,26,35,0,15,3,28,13,1,1
11/14/2021,383,4,40,98,82,79,51,36,25,6,6,0,179,202,2,55,10,94,122,31,71,0,0,0,0,1,1,0,2,0,1,3,0,2,0,2,0,0,0,2,4,5,3,8,9,4,5,0,18,22,0,9,1,20,6,3,1
04/02/2021,675,3,56,83,202,139,107,81,39,17,7,0,346,329,0,179,42,151,226,18,59,0,0,0,0,1,0,1,1,0,2,1,0,1,0,1,1,0,0,2,3,5,13,8,13,9,3,0,26,30,0,17,0,29,9,1,0
04/03/2021,469,9,47,61,130,113,69,51,27,12,6,0,235,234,0,109,24,111,173,14,38,0,0,0,1,2,1,2,3,0,3,6,0,4,1,3,1,0,0,0,3,5,7,6,8,13,5,0,20,27,0,7,0,22,16,1,1
02/08/2022,572,8,30,166,118,84,71,52,42,25,14,0,293,274,5,114,41,93,195,36,93,0,0,0,0,1,4,0,3,0,4,4,0,3,0,4,1,0,0,1,1,4,2,6,2,5,9,0,12,18,0,7,4,11,7,0,1
08/15/2020,220,5,21,18,64,41,30,34,20,11,2,0,106,112,2,80,6,55,62,7,10,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,1,4,2,0,5,3,5,1,0,10,11,0,7,0,10,3,1,0
10/05/2020,553,3,21,54,157,117,95,66,38,22,4,0,266,286,1,238,18,98,140,14,45,0,0,0,0,0,0,1,2,0,2,1,0,0,0,1,2,0,0,1,4,3,2,2,3,5,1,0,9,12,0,7,0,10,4,0,0
04/08/2020,704,36,172,11,86,100,107,154,129,69,48,0,353,351,0,186,23,323,114,29,29,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,1,1,14,16,37,40,37,26,0,67,105,0,38,6,88,30,10,0
10/11/2020,300,4,30,22,93,59,43,37,30,9,7,0,125,174,1,97,7,57,114,10,15,0,0,0,0,1,1,0,2,0,0,4,0,2,0,1,1,0,0,0,2,3,7,4,6,4,4,0,13,17,0,9,1,7,10,1,2
05/31/2020,121,22,39,16,28,20,22,12,13,5,5,0,59,61,1,51,1,41,10,1,17,0,0,0,3,2,5,6,6,0,8,14,0,8,0,8,6,0,0,3,4,3,5,6,13,3,2,0,16,23,0,12,1,23,2,0,1
01/13/2022,3641,30,194,947,650,581,450,435,323,168,87,0,1932,1690,19,955,183,704,790,198,811,0,0,0,0,5,8,5,12,0,15,15,0,3,0,18,9,0,0,8,17,17,12,26,48,31,35,0,98,96,0,38,5,86,52,6,7
03/13/2021,257,2,16,28,66,62,42,32,20,4,3,0,130,127,0,67,3,53,98,16,20,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,1,3,4,5,1,0,9,7,0,3,0,9,3,1,0
03/26/2020,413,2,132,2,65,74,78,96,53,36,9,0,181,232,0,82,14,201,98,10,8,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,7,11,23,25,26,28,12,0,57,75,0,27,1,81,19,4,0
09/09/2021,517,4,39,116,142,104,53,46,33,14,9,0,276,241,0,88,17,141,161,29,81,0,0,0,0,0,1,3,0,0,1,3,0,1,0,0,2,0,1,2,4,6,7,1,6,5,8,0,19,20,0,7,0,22,9,1,0
12/10/2021,1218,15,69,239,261,288,183,105,83,26,19,14,625,593,0,173,34,322,319,131,239,0,0,3,0,0,2,3,7,0,11,4,0,2,1,6,6,0,0,1,2,11,7,13,19,8,8,0,27,42,0,18,1,23,20,7,0
04/14/2022,550,0,9,54,190,117,74,61,32,15,7,0,321,224,5,77,64,74,223,24,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,2,0,4,5,0,0,0,3,6,0,0
10/04/2021,428,3,23,105,84,79,53,48,32,22,5,0,211,216,1,75,19,126,139,23,46,0,0,0,0,0,2,1,0,0,1,2,0,1,0,0,2,0,0,0,4,5,2,4,3,2,3,0,14,9,0,6,0,8,6,3,0
06/01/2020,233,21,63,21,50,35,32,35,17,17,26,0,137,96,0,96,8,57,46,8,18,0,0,0,1,2,4,4,10,0,12,9,0,6,1,10,4,0,0,2,3,11,7,9,7,11,13,0,28,35,0,19,1,29,13,0,1
03/15/2021,368,6,33,43,109,69,63,30,34,12,8,0,201,167,0,95,25,86,114,20,28,0,0,0,0,0,4,0,2,0,3,3,0,3,0,2,1,0,0,1,3,2,3,4,11,4,5,0,23,10,0,7,3,11,7,4,1
08/25/2020,412,4,26,52,121,75,68,50,27,9,9,1,224,184,4,187,8,66,105,18,28,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,3,3,3,6,6,3,2,0,12,14,0,6,0,9,8,1,2
02/24/2021,337,4,35,38,79,65,53,48,29,12,13,0,160,177,0,93,8,87,96,13,40,0,0,0,0,0,1,1,2,0,3,1,0,2,0,1,1,0,0,1,3,2,8,6,6,5,4,0,18,17,0,8,2,18,6,1,0
12/03/2020,2070,30,117,235,520,406,317,308,157,80,47,0,1095,972,3,847,74,399,435,79,236,0,0,0,1,3,6,10,10,0,12,18,0,7,3,13,7,0,0,1,3,11,14,21,24,20,23,0,49,68,0,39,4,45,25,3,1
03/14/2021,179,4,19,23,53,36,31,17,14,5,0,0,84,95,0,38,9,33,73,10,16,0,0,0,0,0,2,1,1,0,2,2,0,1,0,2,1,0,0,1,1,3,1,4,5,3,1,0,9,10,0,1,0,11,6,1,0
12/31/2021,5223,24,243,1007,1119,951,799,608,401,218,120,0,2850,2316,57,1294,226,1209,1072,341,1081,0,0,0,1,3,5,8,7,0,8,16,0,2,1,14,7,0,0,16,25,24,20,35,39,45,38,1,126,117,0,41,7,137,48,8,2
03/30/2020,439,12,158,6,54,78,81,82,59,43,36,0,217,222,0,93,11,217,82,15,21,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0,0,9,9,17,32,35,32,24,0,68,90,0,27,2,101,21,6,1
04/07/2021,841,3,58,136,250,186,113,80,45,15,16,0,441,400,0,212,40,226,260,14,89,0,0,0,0,1,0,1,1,0,2,1,0,2,0,0,1,0,0,4,3,4,7,12,8,7,13,0,33,25,0,13,2,34,7,2,0
03/10/2022,166,2,12,41,37,24,19,19,11,10,5,0,93,72,1,27,10,31,57,7,34,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,2,1,1,3,3,1,1,0,4,8,0,3,0,3,6,0,0
11/12/2020,2928,18,114,329,742,571,495,383,255,114,39,0,1496,1425,7,1117,72,498,741,136,364,0,0,0,0,2,6,3,7,0,10,8,0,5,1,6,6,0,0,4,5,8,12,19,32,21,13,0,64,50,0,29,4,41,29,7,4
