Sport,Season,Type,Location,Opponent,Conference,Day,Month,Outcome,ScoreFor,ScoreAgainst,Length,StreakBeforeMatch,Attend
MSOC,2016,RS,H,Valparaiso,HL,Sat,8,W,3,2,ET,L1,N
MSOC,2016,RS,H,NorthernKentucky,HL,Fri,9,W,1,0,FT,W1,N
MSOC,2016,RS,H,Albany,AE,Sun,9,W,3,0,FT,W2,N
MSOC,2016,RS,N,UtahValley,WAC,Fri,9,W,2,0,FT,W3,N
MSOC,2016,RS,N,Binghamton,AE,Sun,9,W,4,0,FT,W4,N
MSOC,2016,RS,A,Drake,MVC,Sat,9,W,1,0,FT,W5,N
MSOC,2016,RS,H,SIUE,MVC,Sat,9,W,1,0,FT,W6,N
MSOC,2016,RS,A,Creighton,BE,Tue,9,L,0,3,FT,W7,N
MSOC,2016,RS,A,CentralArkansas,MVC,Sat,10,W,3,1,FT,L1,N
MSOC,2016,RS,A,DePaul,BE,Tue,10,W,2,0,FT,W1,N
MSOC,2016,RS,H,Drake,MVC,Sat,10,W,4,0,FT,W2,N
MSOC,2016,RS,A,Evansville,MVC,Sat,10,D,1,1,2ET,W3,N
MSOC,2016,RS,H,NorthernIllinois,MAC,Tue,10,W,2,0,FT,D1,N
MSOC,2016,RS,H,MissouriState,MVC,Sat,10,W,2,0,FT,W1,N
MSOC,2016,RS,A,SIUE,MVC,Sat,10,L,0,1,FT,W2,N
MSOC,2016,RS,H,Bradley,MVC,Sat,11,W,2,0,FT,L1,N
MSOC,2016,CT,A,MissouriState,MVC,Fri,11,L,1,2,ET,W1,N
MSOC,2016,NCAA,H,UIC,HL,Thu,11,W,2,0,FT,L1,N
MSOC,2016,NCAA,A,NotreDame,ACC,Sun,11,L,0,1,FT,W1,N
MSOC,2017,RS,A,Xavier,BE,Fri,8,W,2,1,ET,L1,N
MSOC,2017,RS,H,Valparaiso,MVC,Fri,9,L,1,2,FT,W1,N
MSOC,2017,RS,H,LaSalle,A10,Sun,9,W,3,1,FT,L1,N
MSOC,2017,RS,N,UTRGV,WAC,Fri,9,L,0,1,FT,W1,N
MSOC,2017,RS,N,Stetson,ASUN,Sun,9,W,1,0,FT,L1,N
MSOC,2017,RS,A,Bradley,MVC,Wed,9,L,0,1,FT,W1,N
MSOC,2017,RS,A,Wisconsin,B1G,Sat,9,L,0,2,FT,L1,N
MSOC,2017,RS,H,SIUE,MAC,Sat,9,W,1,0,FT,L2,N
MSOC,2017,RS,H,CentralArkansas,MVC,Sat,9,L,2,3,2ET,W1,Y
MSOC,2017,RS,H,UIC,HL,Tue,10,D,1,1,2ET,L1,N
MSOC,2017,RS,A,Drake,MVC,Sat,10,D,0,0,2ET,D1,N
MSOC,2017,RS,A,Evansville,MVC,Sat,10,W,3,0,FT,D2,N
MSOC,2017,RS,H,DePaul,BE,Tue,10,D,2,2,2ET,W1,N
MSOC,2017,RS,H,Bradley,MVC,Sat,10,W,2,1,FT,D1,N
MSOC,2017,RS,A,Northwestern,B1G,Tue,10,L,1,2,2ET,W1,N
MSOC,2017,RS,A,MissouriState,MVC,Sat,10,W,2,1,FT,L1,N
